"";"TOT_EMP";"H_MEAN";"A_MEAN";"H_PCT10";"H_PCT25";"H_MEDIAN";"H_PCT75";"H_PCT90";"A_PCT10";"A_PCT25";"A_MEDIAN";"A_PCT75";"A_PCT90"
"Police, Fire, and Ambulance Dispatchers";96390;18,95;39410;11,44;14,14;17,99;22,85;28,3;23790;29400;37410;47520;58870
"Dispatchers, Except Police, Fire, and Ambulance";190330;19,09;39710;10,61;13,53;17,64;22,92;29,34;22070;28140;36690;47670;61020
"Meter Readers, Utilities";36210;19,22;39970;10,52;13,27;18,07;24,26;29,89;21880;27610;37580;50450;62170
"Postal Service Workers";501000;24,35;50650;15,31;22,06;26,31;27,5;27,65;31840;45890;54720;57210;57510
"Postal Service Clerks";71910;23,58;49040;12,96;17,15;26,72;26,87;27,77;26950;35670;55590;55880;57760
"Postal Service Mail Carriers";307490;24,9;51790;16,59;20,5;27,5;27,51;28,09;34500;42640;57200;57220;58420
"Postal Service Mail Sorters, Processors, and Processing Machine Operators";121590;23,42;48710;14,04;24,46;26,21;26,22;26,31;29200;50870;54520;54530;54720
"Production, Planning, and Expediting Clerks";297050;22,88;47590;12,9;16,64;21,96;27,86;34,64;26830;34620;45670;57950;72050
"Shipping, Receiving, and Traffic Clerks";661530;15,27;31770;9,52;11,51;14,39;18,12;22,49;19800;23930;29930;37700;46780
"Stock Clerks and Order Fillers";1878860;12,2;25380;8,3;9,07;10,99;14,25;18,34;17260;18870;22850;29650;38140
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping";69430;14,77;30730;8,93;10,67;13,74;17,79;22,39;18560;22200;28570;37000;46570
"Secretaries and Administrative Assistants";3649920;18,63;38750;10,66;13,44;17,3;22,51;28,64;22170;27960;35970;46820;59560
"Executive Secretaries and Executive Administrative Assistants";713730;25,76;53590;15,78;19,54;24,65;31;37,09;32830;40650;51270;64480;77150
"Legal Secretaries";212910;21,96;45670;12,83;15,85;20,56;27,3;34,11;26680;32970;42770;56770;70950
"Medical Secretaries";516050;16,12;33530;10,71;12,78;15,5;18,56;22,74;22270;26580;32240;38600;47300
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive";2207220;16,59;34500;9,89;12,59;15,98;20,05;24,19;20570;26180;33240;41710;50320
"Other Office and Administrative Support Workers";3925760;15,31;31850;8,94;10,92;14,28;18,34;23,12;18590;22710;29710;38150;48100
"Computer Operators";58060;19,83;41240;11,13;14,38;19,03;24,88;28,91;23140;29900;39590;51740;60130
"Data Entry and Information Processing Workers";287240;15,48;32200;9,75;11,95;14,84;18,27;22,25;20290;24860;30870;38000;46280
"Data Entry Keyers";205950;14,48;30130;9,46;11,26;13,88;17,12;20,68;19680;23420;28870;35610;43020
"Word Processors and Typists";81300;18;37440;12,05;14,83;17,64;20,76;24,12;25070;30850;36700;43180;50160
"Desktop Publishers";13310;20,17;41960;9,99;13,65;18,37;24,64;31,56;20780;28390;38200;51240;65650
"Insurance Claims and Policy Processing Clerks";252670;18,63;38740;12,28;14,47;17,66;21,87;26,89;25550;30100;36740;45500;55930
"Mail Clerks and Mail Machine Operators, Except Postal Service";99190;14,02;29160;8,8;10,38;13,41;16,99;20,58;18300;21580;27890;35330;42800
"Office Clerks, General";2889970;14,82;30820;8,79;10,53;13,78;17,82;22,54;18280;21910;28670;37070;46890
"Office Machine Operators, Except Computer";66530;14,52;30200;9;10,91;13,71;17,42;21,61;18710;22700;28510;36230;44940
"Proofreaders and Copy Markers";10500;17,78;36990;9,43;12,72;16,82;22,24;27,33;19620;26460;34980;46250;56850
"Statistical Assistants";14110;20,67;42990;11,7;15,4;20,23;25,31;29,45;24330;32030;42070;52650;61260
"Miscellaneous Office and Administrative Support Workers";234180;16,56;34440;8,95;11,09;15,61;20,27;26,11;18610;23060;32460;42170;54320
"Office and Administrative Support Workers, All Other";234180;16,56;34440;8,95;11,09;15,61;20,27;26,11;18610;23060;32460;42170;54320
"Farming, Fishing, and Forestry Occupations";447130;12,09;25160;8,35;8,81;9,74;13,71;19,45;17370;18330;20250;28520;40450
"Supervisors of Farming, Fishing, and Forestry Workers";18530;22,86;47540;12,53;15,95;21,58;28,2;35,38;26060;33170;44880;58650;73600
"First-Line Supervisors of Farming, Fishing, and Forestry Workers";18530;22,86;47540;12,53;15,95;21,58;28,2;35,38;26060;33170;44880;58650;73600
"Agricultural Workers";383570;10,99;22870;8,32;8,72;9,37;11,73;16,3;17310;18140;19480;24400;33900
"Agricultural Inspectors";13800;20,97;43630;12,17;15,84;20,72;24,49;30,28;25320;32940;43090;50930;62970
"Animal Breeders";1110;20,9;43470;9,14;12,89;19,23;27,62;35,15;19010;26810;40000;57440;73110
"Graders and Sorters, Agricultural Products";36100;10,73;22320;8,33;8,87;9,57;11,73;14,7;17330;18450;19910;24390;30580
"Miscellaneous Agricultural Workers";332560;10,58;22000;8,31;8,68;9,29;11,4;14,85;17290;18060;19330;23720;30890
"Agricultural Equipment Operators";26100;13,7;28490;8,63;9,97;12,94;16,38;20,07;17950;20730;26910;34070;41750
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse";269650;10,01;20820;8,31;8,63;9,17;10,62;13,41;17280;17950;19060;22090;27890
"Farmworkers, Farm, Ranch, and Aquacultural Animals";31540;12,1;25160;8,21;9,09;11,02;14,24;17,96;17080;18900;22930;29620;37360
"Agricultural Workers, All Other";5270;14,9;30990;8,69;10,22;13,16;18,29;25,04;18070;21260;27380;38040;52080
"Fishing and Hunting Workers";560;17,45;36290;9,43;12,37;15,64;21,09;28,78;19610;25730;32530;43870;59860
"Fishers and Related Fishing Workers";400;18,42;38310;10,11;12,65;16,95;22,73;30,61;21020;26310;35250;47270;63670
"Forest, Conservation, and Logging Workers";44470;17,03;35430;9,83;12,82;16,44;20,55;24,63;20450;26660;34200;42750;51220
"Forest and Conservation Workers";6870;14,25;29640;8,08;9,32;13,06;17,61;22,3;16800;19380;27160;36630;46390
"Logging Workers";37600;17,54;36480;10,75;13,46;16,9;20,96;25,16;22370;28000;35160;43600;52340
"Fallers";6090;18,87;39240;10,46;12,95;16,58;24,01;31,64;21760;26940;34490;49940;65810
"Logging Equipment Operators";26010;17,23;35830;10,68;13,44;16,92;20,73;23,6;22220;27950;35190;43120;49090
"Log Graders and Scalers";2780;17,54;36480;11,3;13,68;17,03;20,86;23,78;23500;28460;35430;43390;49470
"Logging Workers, All Other";2730;17,58;36560;12,1;15,14;17,05;19,52;23,74;25160;31490;35460;40590;49390
"Construction and Extraction Occupations";5290270;22,4;46600;11,74;14,91;19,9;28,03;36,95;24430;31000;41380;58310;76860
"Supervisors of Construction and Extraction Workers";496370;31,32;65150;18,14;22,89;29,32;37,62;47,12;37730;47600;60990;78250;98000
"First-Line Supervisors of Construction Trades and Extraction Workers";496370;31,32;65150;18,14;22,89;29,32;37,62;47,12;37730;47600;60990;78250;98000
"Construction Trades Workers";3915350;21,81;45360;11,71;14,74;19,3;27,27;36,1;24360;30660;40150;56710;75090
"Boilermakers";17210;28,93;60170;17,31;22,43;28,78;35,68;41,98;36000;46660;59860;74200;87320
"Brickmasons, Blockmasons, and Stonemasons";70580;24,04;50000;13,5;16,86;22,15;29,43;37,77;28080;35060;46060;61220;78560
"Brickmasons and Blockmasons";59340;24,76;51500;14,28;17,47;22,91;30,3;38,63;29700;36340;47650;63030;80350
"Stonemasons";11250;20,25;42130;11,36;14,11;18,21;24,01;31,67;23630;29340;37880;49950;65860
"Carpenters";617060;21,92;45590;12,33;15,4;19,63;26,78;35,94;25640;32030;40820;55710;74750
"Carpet, Floor, and Tile Installers and Finishers";71980;20,35;42320;10,56;13,65;17,97;24,94;34,53;21960;28400;37380;51880;71830
"Carpet Installers";26050;20,03;41660;9,9;12,54;17,25;24,63;35,37;20580;26080;35880;51240;73560
"Floor Layers, Except Carpet, Wood, and Hard Tiles";9830;19,56;40690;11,42;14,39;17,63;22,76;31,09;23750;29920;36670;47340;64680
"Floor Sanders and Finishers";4510;17,72;36850;10,56;13,56;17,2;21,42;26,13;21960;28210;35770;44560;54350
"Tile and Marble Setters";31590;21,23;44160;11,33;14,48;18,74;26,55;35,84;23570;30120;38980;55230;74550
"Cement Masons, Concrete Finishers, and Terrazzo Workers";155820;19,72;41020;11,93;14,28;17,69;23,33;30,93;24810;29690;36800;48520;64340
"Cement Masons and Concrete Finishers";152570;19,7;40970;11,93;14,27;17,67;23,28;30,89;24810;29690;36760;48430;64250
"Terrazzo Workers and Finishers";3250;20,8;43270;12,11;14,37;18,79;25,74;32,43;25190;29880;39090;53550;67460
"Construction Laborers";852870;17,19;35750;9,72;11,89;14,95;20,3;28,8;20230;24740;31090;42230;59900
"Construction Equipment Operators";402920;22,76;47340;13,27;16,17;20,62;27,82;36,01;27600;33620;42900;57870;74890
"Paving, Surfacing, and Tamping Equipment Operators";54940;20,41;42460;12,11;14,7;18,59;24,05;31,86;25180;30570;38660;50030;66260
"Pile-Driver Operators";3470;27,02;56200;13,69;17,88;24,76;37,07;43,83;28460;37180;51510;77110;91160
"Operating Engineers and Other Construction Equipment Operators";344510;23,09;48020;13,55;16,4;20,92;28,27;36,27;28180;34110;43510;58800;75440
"Drywall Installers, Ceiling Tile Installers, and Tapers";101850;21,68;45090;12,37;15,27;18,73;26,28;37,52;25720;31760;38970;54650;78050
"Drywall and Ceiling Tile Installers";85020;21,07;43820;12,19;15,02;18,32;24,86;36,33;25360;31250;38100;51700;75570
"Tapers";16820;24,76;51490;13,82;17;22,42;32,27;41,11;28750;35350;46630;67110;85500
"Electricians";566930;26,21;54520;14,99;18,5;24,57;32,39;41,15;31170;38470;51110;67370;85590
"Glaziers";42820;21,26;44220;11,86;15,17;18,47;24,91;36,94;24670;31540;38410;51820;76840
"Insulation Workers";52850;21,34;44390;11,65;14,34;18,17;25,47;36,86;24240;29830;37790;52980;76670
"Insulation Workers, Floor, Ceiling, and Wall";24180;18,05;37540;10,57;12,87;16,21;20,81;29,54;22000;26780;33720;43290;61450
"Insulation Workers, Mechanical";28660;24,12;50160;12,98;16,05;20,67;29,99;41,93;27000;33390;42990;62370;87210
"Painters and Paperhangers";208170;19,1;39740;11,38;13,88;17,27;22,71;29,83;23670;28870;35910;47240;62040
"Painters, Construction and Maintenance";204600;19,13;39780;11,41;13,91;17,29;22,73;29,85;23730;28920;35950;47270;62090
"Paperhangers";3570;17,9;37240;10,12;12,79;15,83;21,57;28,83;21040;26600;32930;44860;59960
"Pipelayers, Plumbers, Pipefitters, and Steamfitters";413650;25,6;53240;13,64;17,53;23,61;31,95;41,37;28380;36450;49110;66450;86050
"Pipelayers";41080;19,58;40730;11,94;14;17,79;23,86;31,23;24830;29120;37000;49630;64970
"Plumbers, Pipefitters, and Steamfitters";372570;26,26;54620;14,17;18,17;24,36;32,77;42,38;29470;37790;50660;68160;88160
"Plasterers and Stucco Masons";20760;20,67;43000;11,99;15,09;18,05;24,85;34,48;24940;31390;37550;51680;71710
"Reinforcing Iron and Rebar Workers";18530;26,35;54810;13,42;16,69;24,05;34,52;43,83;27920;34710;50020;71800;91160
"Roofers";103650;19,04;39600;11,26;13,64;17,19;22,97;29,44;23410;28360;35760;47780;61240
"Sheet Metal Workers";132530;23,42;48700;12,3;15,81;21,67;29,03;38,19;25590;32880;45070;60390;79430
"Structural Iron and Steel Workers";60010;25,55;53140;13,94;17,14;23,17;32,52;42,46;29000;35650;48200;67640;88310
"Solar Photovoltaic Installers";5170;20,08;41770;13,66;16,08;19,24;23,12;28,05;28420;33440;40020;48080;58340
"Helpers, Construction Trades";224500;13,9;28920;9,16;10,74;13,24;16,34;19,31;19060;22340;27540;33990;40160
"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters";23570;15,12;31450;9,73;11,33;13,86;17,49;22,65;20230;23570;28830;36390;47110
"Helpers--Carpenters";38900;13,4;27870;8,96;10,45;12,79;15,63;18,56;18640;21740;26600;32520;38610
"Helpers--Electricians";68280;14;29110;9,16;10,87;13,43;16,52;19,33;19040;22620;27940;34360;40200
"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons";11570;12,89;26810;8,85;10,23;12,46;14,57;17,6;18410;21280;25910;30300;36600
"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters";51350;13,91;28940;9,21;10,78;13,32;16,46;19,17;19160;22420;27710;34230;39860
"Helpers--Roofers";11640;12,99;27010;8,96;10,3;12,53;15,31;17,91;18640;21430;26060;31830;37250
"Helpers, Construction Trades, All Other";19190;14,24;29630;9,26;10,84;13,47;16,83;20,73;19260;22550;28010;35010;43110
"Other Construction and Related Workers";384390;21,86;45470;11,87;15,07;19,79;26,88;35,64;24690;31350;41160;55900;74140
"Construction and Building Inspectors";88410;28,09;58430;16,33;20,87;26,94;34,37;42,7;33970;43400;56040;71490;88830
"Elevator Installers and Repairers";20590;36,78;76490;20,16;29,82;37,8;44,55;52,62;41930;62030;78620;92670;109450
"Fence Erectors";20990;16,1;33490;9,87;12,13;15,15;18,52;23,44;20540;25220;31510;38520;48760
"Hazardous Materials Removal Workers";42250;20,54;42730;12,43;14,72;18,52;25,32;32,41;25860;30620;38520;52670;67420
"Highway Maintenance Workers";140650;18,22;37910;11,12;13,97;17,59;21,85;26,37;23120;29060;36580;45440;54840
"Rail-Track Laying and Maintenance Equipment Operators";14820;24,39;50740;15,31;19,9;24,92;28,54;33,08;31850;41400;51840;59350;68800
"Septic Tank Servicers and Sewer Pipe Cleaners";24350;17,79;37010;10,25;13;16,73;21,6;27,48;21330;27030;34810;44930;57150
"Miscellaneous Construction and Related Workers";32320;18,47;38420;10,66;13,25;16,95;22;28,54;22180;27560;35260;45770;59350
"Segmental Pavers";1130;16,71;34750;8,71;11,58;15,47;18,51;26,72;18120;24090;32180;38490;55570
"Construction and Related Workers, All Other";31190;18,54;38560;10,76;13,3;17,02;22,08;28,58;22380;27670;35400;45920;59450
"Extraction Workers";269660;22,49;46770;12,76;15,83;20,26;26,68;34,22;26540;32920;42150;55480;71170
"Derrick, Rotary Drill, and Service Unit Operators, Oil, Gas, and Mining";109320;25,85;53760;14,86;17,56;22,63;29,94;40,34;30900;36530;47060;62280;83900
"Derrick Operators, Oil and Gas";20760;24,56;51090;15,72;18,4;23,28;28,82;35,72;32700;38280;48410;59940;74290
"Rotary Drill Operators, Oil and Gas";26480;29,36;61070;14,7;18,23;25,56;34,89;45,03;30580;37910;53160;72570;93660
"Service Unit Operators, Oil, Gas, and Mining";62080;24,78;51540;14,41;17,11;21,62;28,67;38,52;29980;35580;44970;59630;80120
"Earth Drillers, Except Oil and Gas";19160;24,42;50790;13,68;16,56;20,93;27,41;35,32;28450;34430;43540;57020;73470
"Explosives Workers, Ordnance Handling Experts, and Blasters";7970;25,56;53160;16,37;20,09;25,07;31,21;35,91;34050;41790;52140;64910;74690
"Mining Machine Operators";20960;23,45;48770;14,94;18,84;23,61;28,08;32,66;31080;39190;49120;58410;67940
"Continuous Mining Machine Operators";11540;23,4;48670;15,1;18,76;23,29;28,02;32,9;31420;39020;48440;58280;68440
"Mine Cutting and Channeling Machine Operators";6960;23,51;48900;14,49;19,06;24,16;28,11;31,99;30130;39640;50260;58460;66540
"Mining Machine Operators, All Other";2470;23,49;48870;14,98;18,53;23,63;28,28;33,24;31170;38540;49150;58820;69130
"Rock Splitters, Quarry";3630;16,51;34340;10,11;12,81;15,98;19,51;23,59;21040;26650;33240;40580;49060
"Roof Bolters, Mining";5710;26,38;54880;20,51;23,76;26,37;29,02;33,47;42660;49420;54860;60360;69610
"Roustabouts, Oil and Gas";73450;18,12;37700;11,49;13,85;17,2;21,64;26,88;23900;28810;35780;45020;55920
"Helpers--Extraction Workers";24130;17,36;36100;11,27;13,4;16,58;20,69;24,74;23440;27860;34480;43030;51460
"Miscellaneous Extraction Workers";5320;21,43;44570;12,13;14,33;19,78;23,81;29,35;25230;29800;41140;49520;61050
"Extraction Workers, All Other";5320;21,43;44570;12,13;14,33;19,78;23,81;29,35;25230;29800;41140;49520;61050
"Installation, Maintenance, and Repair Occupations";5244670;21,74;45220;11,16;14,9;20,25;27,43;34,88;23220;30980;42110;57060;72560
"Supervisors of Installation, Maintenance, and Repair Workers";434810;31,09;64670;17,96;22,9;29,88;37,65;46,28;37350;47620;62150;78310;96270
"First-Line Supervisors of Mechanics, Installers, and Repairers";434810;31,09;64670;17,96;22,9;29,88;37,65;46,28;37350;47620;62150;78310;96270
"Electrical and Electronic Equipment Mechanics, Installers, and Repairers";572780;23,81;49520;12,74;16,76;22,92;30,45;36,18;26500;34870;47660;63330;75260
"Computer, Automated Teller, and Office Machine Repairers";110940;18,49;38450;10,51;13,36;17,58;22,53;28,15;21860;27790;36560;46850;58540
"Radio and Telecommunications Equipment Installers and Repairers";226930;26,13;54350;14,62;18,81;26,33;33,29;37,07;30400;39130;54770;69240;77100
"Radio, Cellular, and Tower Equipment Installers and Repairers";13310;23,98;49880;13,4;17,03;23,05;31,12;36,11;27880;35420;47950;64730;75100
"Telecommunications Equipment Installers and Repairers, Except Line Installers";213620;26,26;54630;14,72;18,97;26,53;33,39;37,12;30610;39450;55190;69450;77200
"Miscellaneous Electrical and Electronic Equipment Mechanics, Installers, and Repairers";234920;24,08;50080;13,08;17,31;23,32;29,79;36,42;27210;36000;48500;61960;75750
"Avionics Technicians";17150;28,11;58460;16,95;22,96;27,36;33,8;41,02;35260;47760;56910;70290;85320
"Electric Motor, Power Tool, and Related Repairers";17380;20,12;41850;11,9;14,84;18,85;24,1;29,86;24750;30860;39220;50120;62100
"Electrical and Electronics Installers and Repairers, Transportation Equipment";14160;26,65;55430;16,68;21,94;26,92;31,69;36,2;34690;45640;56000;65910;75300
"Electrical and Electronics Repairers, Commercial and Industrial Equipment";65900;26,74;55610;16,4;21;26,27;31,57;37,12;34110;43690;54640;65670;77200
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay";22120;33,71;70110;23,94;29,86;34,33;38,66;44,27;49800;62100;71400;80400;92080
"Electronic Equipment Installers and Repairers, Motor Vehicles";11460;15,83;32920;8,82;11,14;14,92;18,72;23,7;18330;23180;31020;38930;49290
"Electronic Home Entertainment Equipment Installers and Repairers";26590;18,34;38140;10,43;13,36;17,35;22,57;28,1;21690;27790;36090;46950;58450
"Security and Fire Alarm Systems Installers";60160;21,11;43910;12,84;16,23;20,46;25,32;30,48;26710;33750;42560;52660;63390
"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers";1507680;20,25;42120;10,51;13,99;18,97;25,43;31,53;21860;29090;39450;52900;65570
"Aircraft Mechanics and Service Technicians";116830;28,29;58850;16,8;22,3;27,4;34,1;41,79;34940;46380;56990;70920;86930
"Automotive Technicians and Repairers";786200;19,49;40540;10,19;13,41;18,07;24,11;30,21;21190;27900;37580;50150;62840
"Automotive Body and Related Repairers";137140;21,09;43870;11,84;15,16;19,38;25,66;32,98;24640;31530;40320;53370;68590
"Automotive Glass Installers and Repairers";15670;16,37;34050;9,77;12,32;15,67;19,72;23,48;20330;25630;32590;41020;48840
"Automotive Service Technicians and Mechanics";633390;19,22;39980;10;13,11;17,84;23,93;29,94;20800;27270;37120;49780;62280
"Bus and Truck Mechanics and Diesel Engine Specialists";243080;21,71;45160;13,52;16,69;20,98;26,31;31,42;28130;34710;43630;54710;65350
"Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics";174690;22,53;46860;13,89;17,31;22,08;27,26;32,24;28890;36000;45930;56700;67070
"Farm Equipment Mechanics and Service Technicians";35320;17,94;37320;11,18;13,86;17,38;21,55;25,88;23260;28820;36150;44830;53830
"Mobile Heavy Equipment Mechanics, Except Engines";119280;23,42;48720;15,28;18,44;22,88;27,79;33,17;31780;38350;47580;57810;68990
"Rail Car Repairers";20080;25,27;52570;15,87;20,93;25,97;29,46;34,47;33010;43540;54020;61280;71690
"Small Engine Mechanics";64860;17,18;35740;10,15;12,78;16,41;20,93;25,85;21110;26580;34130;43530;53760
"Motorboat Mechanics and Service Technicians";20210;18,56;38600;10,7;13,93;17,95;22,57;27,78;22260;28970;37340;46950;57790
"Motorcycle Mechanics";15420;17,21;35810;10,22;12,72;16,35;20,93;26,02;21270;26460;34010;43520;54120
"Outdoor Power Equipment and Other Small Engine Mechanics";29220;16,22;33730;9,93;12,25;15,44;19,24;23,67;20640;25490;32120;40010;49230
"Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers";122030;12,86;26760;8,61;9,82;11,78;14,79;18,62;17920;20420;24500;30760;38740
"Bicycle Repairers";10520;12,96;26960;8,94;10,39;12,68;14,85;17,91;18600;21610;26370;30890;37260
"Recreational Vehicle Service Technicians";10990;17,8;37030;10,92;13,86;17,13;21,16;26,05;22710;28830;35630;44010;54180
"Tire Repairers and Changers";100510;12,31;25610;8,53;9,62;11,41;14,17;17,78;17740;20020;23730;29480;36970
"Other Installation, Maintenance, and Repair Occupations";2729400;20,64;42930;10,89;14,31;19,13;25,92;32,92;22650;29770;39790;53910;68480
"Control and Valve Installers and Repairers";58510;24,13;50190;13,29;16,8;22,4;30,71;37,67;27650;34940;46600;63870;78350
"Mechanical Door Repairers";17220;18,87;39250;11,96;14,64;17,82;22,13;27,73;24870;30450;37080;46040;57670
"Control and Valve Installers and Repairers, Except Mechanical Door";41290;26,32;54750;14,52;18,67;25,55;33,47;40,15;30210;38840;53140;69620;83510
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers";261390;22,54;46880;13,29;16,64;21,46;27,64;34,05;27630;34610;44630;57500;70820
"Home Appliance Repairers";33270;18,14;37720;10,02;12,82;17,02;22,21;28,47;20840;26670;35410;46200;59220
"Industrial Machinery Installation, Repair, and Maintenance Workers";445630;23,66;49220;14,49;18,02;22,81;28,5;34,79;30130;37490;47440;59270;72370
"Industrial Machinery Mechanics";313880;24,25;50440;15,1;18,63;23,38;28,97;35,32;31410;38740;48630;60250;73470
"Maintenance Workers, Machinery";90730;21,18;44050;12,72;16,16;20,5;25,54;30,01;26450;33610;42640;53130;62410
"Millwrights";39290;24,77;51520;15,04;19,06;24,26;30,55;35,84;31280;39640;50460;63540;74540
"Refractory Materials Repairers, Except Brickmasons";1730;22;45760;15,15;18,64;21,59;25,28;29,55;31510;38760;44910;52580;61470
"Line Installers and Repairers";228960;28,71;59710;15,14;20,24;29,68;36,05;42,95;31500;42090;61740;74990;89340
"Electrical Power-Line Installers and Repairers";114540;31,24;64990;17,35;24,05;31,7;37,99;45,21;36090;50030;65930;79010;94030
"Telecommunications Line Installers and Repairers";114420;26,17;54430;13,72;17,71;26,18;34,24;39,02;28530;36840;54450;71230;81160
"Precision Instrument and Equipment Repairers";65810;22,62;47040;12,41;15,9;21,35;28,3;35,21;25810;33060;44400;58870;73250
"Camera and Photographic Equipment Repairers";3150;20,36;42360;10,81;14;19,24;25,28;31,39;22480;29120;40020;52570;65290
"Medical Equipment Repairers";41430;23,34;48540;13,3;16,54;21,95;28,85;35,94;27660;34400;45660;60010;74750
"Musical Instrument Repairers and Tuners";7660;17,4;36200;9,4;12,07;15,94;20,78;28,57;19540;25110;33150;43220;59430
"Watch Repairers";2390;18,38;38240;9,62;11,7;17,04;22,81;28,94;20010;24350;35450;47440;60200
"Precision Instrument and Equipment Repairers, All Other";11180;25,06;52120;14,7;18,98;25,04;30,15;35,79;30570;39470;52090;62710;74430
"Maintenance and Repair Workers, General";1282920;18,46;38390;10,27;13,2;17,39;22,72;28,45;21370;27450;36170;47250;59170
"Wind Turbine Service Technicians";3710;24,9;51790;17,48;20,18;23,46;28,12;34,02;36350;41980;48800;58500;70770
"Miscellaneous Installation, Maintenance, and Repair Workers";349210;17,31;36010;9,24;11,48;15,53;21,56;28,22;19210;23880;32290;44850;58700
"Coin, Vending, and Amusement Machine Servicers and Repairers";30840;16,1;33480;9,19;11,59;15,32;19,56;23,65;19110;24110;31860;40690;49190
"Commercial Divers";3620;24,55;51070;14,07;16,95;22,06;28,12;40,56;29270;35260;45890;58490;84370
"Fabric Menders, Except Garment";710;12,03;25020;8,57;9,67;11,5;13,87;15,96;17830;20110;23930;28840;33190
"Locksmiths and Safe Repairers";17090;19,53;40620;11,17;14,23;18,56;23,97;29,35;23220;29600;38600;49850;61050
"Manufactured Building and Mobile Home Installers";3280;15,35;31930;9,16;11,35;14,23;17,72;23,25;19050;23610;29600;36850;48360
"Riggers";20350;22,55;46900;12,81;15,56;19,99;26,58;33,7;26640;32360;41570;55280;70100
"Signal and Track Switch Repairers";7880;28,81;59920;19,57;24,24;29,15;34,44;37,41;40700;50430;60640;71640;77800
"Helpers--Installation, Maintenance, and Repair Workers";126980;13,33;27720;8,55;9,75;12,21;15,74;19,88;17780;20290;25390;32740;41350
"Installation, Maintenance, and Repair Workers, All Other";138460;19,42;40400;10,42;13,37;17,89;24,3;29,91;21670;27810;37220;50550;62220
"Production Occupations";8934050;17,06;35490;9,22;11,36;15,25;20,83;27,85;19180;23630;31720;43320;57930
"Supervisors of Production Workers";592830;28,39;59060;15,89;20,31;26,69;34,84;44,24;33060;42250;55520;72460;92020
"First-Line Supervisors of Production and Operating Workers";592830;28,39;59060;15,89;20,31;26,69;34,84;44,24;33060;42250;55520;72460;92020
"Assemblers and Fabricators";1810560;15,25;31720;9,05;10,84;14,08;18,19;23,78;18820;22540;29280;37840;49470
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers";40630;24,43;50810;14,81;18,17;23,24;31,58;36,29;30810;37800;48340;65690;75490
"Electrical, Electronics, and Electromechanical Assemblers";269250;15,65;32540;9,57;11,55;14,68;18,54;23,08;19910;24030;30540;38560;48000
"Coil Winders, Tapers, and Finishers";14930;16,12;33530;9,98;12,35;15,86;19,46;22,73;20760;25690;32980;40490;47280
"Electrical and Electronic Equipment Assemblers";207330;15,42;32070;9,38;11,29;14,38;18,29;22,99;19510;23470;29910;38040;47820
"Electromechanical Equipment Assemblers";46990;16,5;34330;10,44;12,57;15,75;19,61;23,53;21710;26150;32760;40790;48940
"Engine and Other Machine Assemblers";38330;19,32;40180;12,24;14,83;18,42;24,13;27,93;25460;30850;38310;50180;58090
"Structural Metal Fabricators and Fitters";78050;18,35;38160;11,87;14,27;17,58;21,75;26,46;24690;29680;36570;45240;55040
"Miscellaneous Assemblers and Fabricators";1384290;14,61;30400;8,87;10,47;13,49;17,51;22,91;18450;21780;28050;36410;47660
"Fiberglass Laminators and Fabricators";18770;14,57;30300;9,65;11,42;13,92;17,11;20,63;20060;23750;28950;35580;42920
"Team Assemblers";1125160;14,78;30740;8,94;10,59;13,64;17,69;23,36;18590;22020;28370;36790;48590
"Timing Device Assemblers and Adjusters";1650;16,94;35230;10,17;11,12;14,45;20,72;29,33;21150;23130;30060;43100;61000
"Assemblers and Fabricators, All Other";238720;13,81;28730;8,62;9,88;12,68;16,61;20,79;17940;20560;26380;34550;43250
"Food Processing Workers";767460;12,95;26950;8,62;9,84;12,05;14,92;18,79;17940;20470;25060;31030;39080
"Bakers";173730;12,28;25550;8,45;9,38;11,35;14,25;18,07;17570;19510;23600;29640;37580
"Butchers and Other Meat, Poultry, and Fish Processing Workers";373440;12,91;26850;8,72;10,02;12,14;14,73;18,4;18140;20840;25250;30640;38270
"Butchers and Meat Cutters";137050;14,61;30380;8,97;10,65;13,78;17,79;22,08;18670;22160;28660;36990;45920
"Meat, Poultry, and Fish Cutters and Trimmers";150310;11,63;24190;8,49;9,56;11,23;13,39;14,99;17650;19880;23350;27850;31180
"Slaughterers and Meat Packers";86070;12,44;25880;8,93;10,31;12,29;14,34;16,74;18570;21450;25560;29820;34830
"Miscellaneous Food Processing Workers";220290;13,56;28210;8,67;10,02;12,61;16,32;20,52;18030;20830;26230;33940;42680
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders";18890;14,14;29410;8,81;10,44;13,31;17,3;21,34;18320;21710;27680;35980;44380
